year,letter,first_author,et_al,Accessed,method,species,country,local_modern_data,site,n_site,marine_riverine,hunter_gatherer,sedentary,midden_or_layer,num_specimens,num_layers,total_layers,num_edge,years_in_record,start_period,end_period,calibrated,main_question,Seasonality_Result,Notes,Reference
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Kode-407,1,marine,Jomon,jomon,midden,511,114,114,NA,NA,5500,5500,,Occupation Season,Late summer - early autumn,"""The middle part of the layer was filled with clams that had been taken in late summer and early autumn, and those that had been harvested in late autumn were found on the upper surface. Thus, a seasonal sequence from early summer to late autumn was recognized in the shell deposit.""","Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Kode-413,1,marine,Jomon,jomon,layer,29,7,7,NA,NA,5500,5500,,Occupation Season,late summer only,,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Miyamotodai 5-28-B,1,marine,Jomon,Jomon,layer,73,NA,NA,NA,NA,3300,3300,,Occupation Season,spring only (almost),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Hitotsubashi B-25,1,marine,FALSE,TRUE,midden,48,8,8,NA,NA,300,300,,Occupation Season,spring only (almost),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Miyamotodai 4-2-C,1,marine,Jomon,Jomon,layer,25,NA,NA,NA,NA,3300,3300,,Occupation Season,spring only (almost),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Uenodai - Pit 2H-62,1,marine,Kofun,Kofun,layer,40,17,17,NA,NA,1400,1400,,Occupation Season,year-round,,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Kasai-jo,1,marine,FALSE,TRUE,midden,27,NA,NA,NA,NA,400,400,,Occupation Season,year-round (Autumn emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Soya-section A,1,marine,Jomon,Jomon,midden,123,26,26,NA,NA,3900,3300,,Occupation Season,year-round (no emphasis),possibly disturbed,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Soya-section 1 B,1,marine,Jomon,Jomon,layer,370,87,87,NA,NA,3900,3300,,Occupation Season,year-round (Spring emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Kowashimizu,1,marine,Jomon,Jomon,midden,180,39,39,NA,NA,4100,4100,,Occupation Season,year-round (Spring emphasis),"""seasonal stratification was detectable as follows: the clams that had been collected in the late spring were mainly distributed in the upper blocks; the clams that had been collected during the winter were generally found in the middle blocks, and the lower blocks were filled with clams that had been collected in the late autumn and winter.""","Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Miyamotodai pit 1-2,1,marine,Jomon,Jomon,midden,119,7,7,NA,NA,3300,3300,,Occupation Season,year-round (Spring emphasis),"""These results show that the shell deposit in this pit consisted of 2 seasonal strata: the 1st to 5th layers of the early spring season and the 6th to 7th layers of the late summer to early autumn season.""","Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Miyamotodai 1-11-C,1,marine,Jomon,Jomon,layer,74,NA,NA,NA,NA,3300,3300,,Occupation Season,year-round (Spring emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Miyamotodai 2-10-C,1,marine,Jomon,Jomon,layer,65,NA,NA,NA,NA,3300,3300,,Occupation Season,year-round (Spring emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Nishiniyato,1,marine,Jomon,Jomon,layer,35,6,6,NA,NA,5100,5100,,Occupation Season,year-round (Spring emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Uenodai - Pit 2L-70,1,marine,Kofun,Kofun,layer,51,15,15,NA,NA,1400,1400,,Occupation Season,year-round (spring to autumn emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Kamitakatsu-A,1,marine,Jomon,Jomon,layer,133,8,8,NA,NA,3300,3000,,Occupation Season,year-round (Spring+autumn emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Natsumidai dwelling 6,1,marine,FALSE,TRUE,midden,312,NA,NA,NA,NA,1400,1400,,Occupation Season,year-round (Spring+summer emphasis),"""Close observation suggested that clams deposited at the bottom of the deposit tended to have been collected from spring and early summer. Clams in the middle part had been collected mostly during summer and autumn, and those gathered in spring appeared in the upper surface of the shell layer.""","Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Kamitakatsu-B,1,marine,Jomon,Jomon,midden,69,4,4,NA,NA,3300,3000,,Occupation Season,year-round (Spring+summer emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Soya-pit 2,1,marine,Jomon,Jomon,layer,193,28,28,NA,NA,3900,3300,,Occupation Season,year-round (Summer emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Arayashiki,1,marine,Jomon,Jomon,midden,71,17,17,NA,NA,4100,4100,,Occupation Season,year-round (Summer emphasis),"""A relatively wide range of seasons in each sample block could be caused by an inadequate sampling technique: the bottom of the shell deposit was conical-shape, and clams of different seasonal strata might be sampled together in a block""","Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Soya-pit 3,1,marine,Jomon,Jomon,midden,59,5,5,NA,NA,3900,3300,,Occupation Season,year-round (Summer/autumn emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Kode-405,1,marine,Jomon,jomon,layer,129,18,19,NA,NA,5500,5500,,Occupation Season,year-round (Winter emphasis),""" Clams deposited in the upper part had been collected in the late winter, those in the middle part had been collected during the autumn and early winter, and those at the bottom of the western blocks had been collected in the spring and early summer.""","Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Shimpata,1,marine,Jomon,jomon,layer,60,1,1,NA,NA,6000,6000,,Occupation Season,year-round (Winter emphasis),,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1981,,Aten,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41Ch16,1,marine,,,midden,18,1,,,,Preceramic,Preceramic,,Occupation Season,May-June,I disagree with how some seasons are simply cut off because of statistical grouping. 4 of the 18 samples indicated April collection,"Aten, L.E., 1981. Determining seasonality of rangia cuneata from gulf coast shell middens. Bulletin of the Texas Archaeological Society 52, 179–200."
1981,,Killingley,,TRUE,d18O,"Mytilus californianus, Lottia gigantea, Thais emarginata, . Septifer bifurca, Haliotis chracherodii",US-California,FALSE,Punta Minitas,1,marine,TRUE,NA,midden,14,6,NA,11,1 to 3,7500,1500, NA,Feasability,warm period (of 2),averaged edge samples from 5 to 17,"Killingley, J.S., 1981. Seasonality of Mollusk Collecting Determined from O-18 Profiles of Midden Shells. Am. Antiq. 46, 152–158."
1982,,Ham,,TRUE,GI,"Saxidomus gigantea, Protothaca staminea, Clinocardium nutalli",Canada,TRUE,,1,marine,TRUE,TRUE,midden,124,31,31,NA,NA,1350,480,FALSE,Occupation Season,Feb/March,,"Ham, L.C., 1982. Seasonality, shell midden layers, and Coast Salish subsistence activities at the Crescent Beach site, DgRr 1 (Doctoral dissertation, University of British Columbia)."
1983,,Deith,,TRUE,GI-highres,Cerastoderma edule,Scotland,TRUE,"Morton, Fife",1,marine,TRUE,FALSE,midden,94,2,NA,NA,NA,6400,NA,FALSE,Occupation Season,"Mostly Winter, some summer",,"Deith, M.R., 1983. Molluscan calendars: The use of growth-line analysis to establish seasonality of shellfish collection at the Mesolithic site of Morton, Fife. J. Archaeol. Sci. 10, 423–440."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK91,1,marine,,,midden,450,7,NA,NA,NA,Archaic,Late Prehistoric,,Occupation Season,April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK41,1,marine,,,midden,20,1,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK147,1,marine,,,midden,20,1,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41CH172,1,marine,,,midden,500,8,NA,NA,NA,Archaic,1500,NA,Occupation Season,April-July,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK114,1,marine,,,midden,50,2,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,April-July,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK7,1,marine,,,midden,375,6,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,April-May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41CH32,1,marine,,,midden,300,5,NA,NA,NA,1900,500,NA,Occupation Season,April-May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41CH47,1,marine,,,midden,300,5,NA,NA,NA,Late Archaic,1200,NA,Occupation Season,April-May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,total length,Donax variabilis,US-Florida,TRUE,Palm coast,1,marine,NA,NA,midden,500,NA,NA,NA,NA,NA,NA,NA,Occupation Season,Autumn,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,John's Mound,1,marine,NA,NA,midden,NA,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December or January,Number of specimens unknown but supposedly (69%),"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,Marys Mound,1,marine,NA,NA,midden,NA,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December or January,Number of specimens unknown but supposedly (82%),"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,Seaside 1,1,marine,NA,NA,midden,5,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December or January,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,McLeod Mound,1,marine,NA,NA,midden,2,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December or January,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Merceneria merceneria,US-Georgia,TRUE,Kenan,1,marine,NA,NA,midden,551,13,NA,NA,NA,NA,NA,NA,Occupation Season,fall-winter,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41CL35,1,marine,,,midden,20,1,NA,NA,NA,NA,NA,,Occupation Season,July,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK118,1,marine,,,midden,20,1,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,June,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK129,1,marine,,,midden,20,1,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,June,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,NA,US-Kentucky,FALSE,Carlston Annis,1,freshwater,,,midden,33,4,NA,NA,NA,Late Archaic,Late Archaic,NA,Occupation Season,June-August,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,NA,US-Texas,FALSE,41Ft180,1,freshwater,,,layer,11,1,1,NA,NA,Late Archaic,Late Archaic,NA,Occupation Season,June-August,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41CL37,1,marine,,,midden,50,2,NA,NA,NA,Archaic,Archaic,,Occupation Season,June-July,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41CH46,1,marine,,,midden,NA,,NA,NA,NA,NA,NA,,Occupation Season,Late April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Florida,TRUE,8SR85,1,marine,,,midden,3849,25,NA,NA,NA,Mississippian,Mississippian,NA,Occupation Season,Late summer to Autumn,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,NA,US-Kentucky,FALSE,Deweese,1,freshwater,,,midden,1151,37,40,NA,NA,Late Archaic,Late Archaic,NA,Occupation Season,March to November,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41HR85,1,marine,,,midden,NA,,NA,NA,NA,NA,NA,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK125,1,marine,,,midden,50,2,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41MG19,1,marine,,,midden,20,1,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK128,1,marine,,,midden,20,1,NA,NA,NA,Late Prehistoric,Late Prehistoric,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41MG25,1,marine,,,midden,20,1,NA,NA,NA,NA,NA,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41MG29,1,marine,,,midden,20,1,NA,NA,NA,NA,NA,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK110,1,marine,,,midden,20,1,NA,NA,NA,NA,NA,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK113,1,marine,,,midden,20,1,NA,NA,NA,NA,NA,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41JK120,1,marine,,,midden,20,1,NA,NA,NA,NA,NA,,Occupation Season,May,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Texas,TRUE,41CH110,1,marine,,,midden,500,8,NA,NA,NA,800,200,NA,Occupation Season,May-July,num_spec is 20 to 500 but here averaged across the number of sites and layers,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,SoC534-Deptford,1,marine,,,midden,3,NA,NA,NA,NA,Deptford,Deptford,NA,Occupation Season,May-June or October-November,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,38GE238,1,marine,,,midden,171,,,,,Late Woodland,Late Woodland,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-North Carolina,FALSE,Stoney Brook,1,marine,,,midden,157,NA,NA,NA,NA,Middle Woodland,Middle Woodland,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-North Carolina,FALSE,Jordan Permit,1,marine,,,midden,120,NA,NA,NA,NA,Middle Woodland,Middle Woodland,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,Pinckney Island,1,marine,,,midden,33,,,,,Middle Woodland,Middle Woodland,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,SoC533,1,marine,,,NA,10,,,,,Middle Woodland,Middle Woodland,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,Lodge Alley,1,marine,,,NA,9,,,,,mid-1700s,mid-1700s,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,SoC535,1,marine,,,NA,9,,,,,Pee Dee,Pee Dee,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,SoC534-McClellandville,1,marine,,,midden,4,,,,,McClellandville,McClellandville,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
